;wykryte;nienaprawialne;niewykryte;bledy
0;3473;182;4;3477
1;3537;170;2;3539
2;3602;169;3;3605
3;3538;180;1;3539
4;3643;169;3;3646
5;3676;190;2;3678
6;3586;160;1;3587
7;3439;196;1;3440
8;3565;173;4;3569
9;3521;169;3;3524
10;3552;170;2;3554
11;3501;179;2;3503
12;3584;178;2;3586
13;3562;189;2;3564
14;3523;178;2;3525
15;3437;173;2;3439
16;3578;181;5;3583
17;3580;188;4;3584
18;3571;168;2;3573
19;3611;184;4;3615
20;3570;186;7;3577
21;3560;188;0;3560
22;3532;156;2;3534
23;3619;178;7;3626
24;3538;182;6;3544
25;3556;196;7;3563
26;3609;177;6;3615
27;3572;195;2;3574
28;3542;174;0;3542
29;3538;182;0;3538
30;3583;184;4;3587
31;3530;167;4;3534
32;3589;167;2;3591
33;3469;171;3;3472
34;3558;166;1;3559
35;3564;180;5;3569
36;3809;232;5;3814
37;3508;161;4;3512
38;3439;152;5;3444
39;3528;182;3;3531
40;3455;200;2;3457
41;3546;173;4;3550
42;3590;174;3;3593
43;3599;185;2;3601
44;3581;186;6;3587
45;3550;178;0;3550
46;3597;181;2;3599
47;3511;175;2;3513
48;3517;189;2;3519
49;3476;197;4;3480
50;3555;162;2;3557
51;3582;181;2;3584
52;3523;189;6;3529
53;3629;204;6;3635
54;3637;181;2;3639
55;3512;172;7;3519
56;3597;189;2;3599
57;3665;202;3;3668
58;3494;179;3;3497
59;3521;179;2;3523
60;3631;209;2;3633
61;3496;193;4;3500
62;3593;188;2;3595
63;3624;193;4;3628
64;3603;180;4;3607
65;3514;158;2;3516
66;3588;189;1;3589
67;3567;165;5;3572
68;3651;208;5;3656
69;3558;185;3;3561
70;3519;165;3;3522
71;3493;174;3;3496
72;3575;187;3;3578
73;3579;196;5;3584
74;3660;186;1;3661
75;3633;193;6;3639
76;3471;165;1;3472
77;3609;183;2;3611
78;3599;171;5;3604
79;3671;183;5;3676
80;3578;176;4;3582
81;3565;181;1;3566
82;3546;183;6;3552
83;3629;211;4;3633
84;3589;187;5;3594
85;3599;208;3;3602
86;3510;184;6;3516
87;3630;205;7;3637
88;3498;192;4;3502
89;3529;193;2;3531
90;3639;174;2;3641
91;3483;180;5;3488
92;3574;164;3;3577
93;3645;180;5;3650
94;3571;161;2;3573
95;3505;172;2;3507
96;3590;171;1;3591
97;3523;201;5;3528
98;3569;164;1;3570
99;3567;183;3;3570
100;3519;177;6;3525
101;3590;182;6;3596
102;3573;180;3;3576
103;3559;204;4;3563
104;3573;168;1;3574
105;3657;200;5;3662
106;3587;161;2;3589
107;3523;165;2;3525
108;3516;171;3;3519
109;3597;196;1;3598
110;3543;189;4;3547
111;3486;180;2;3488
112;3544;153;1;3545
113;3509;193;1;3510
114;3502;190;2;3504
115;3664;172;3;3667
116;3612;181;3;3615
117;3586;168;4;3590
118;3561;191;6;3567
119;3500;175;2;3502
120;3576;186;1;3577
121;3578;180;3;3581
122;3577;174;5;3582
123;3530;173;5;3535
124;3605;170;1;3606
125;3612;177;5;3617
126;3387;159;5;3392
127;3556;178;3;3559
128;3498;172;2;3500
129;3661;195;4;3665
130;3551;172;3;3554
131;3494;187;1;3495
132;3538;186;1;3539
133;3666;169;2;3668
134;3563;164;1;3564
135;3629;172;1;3630
136;3582;172;2;3584
137;3602;189;1;3603
138;3516;168;6;3522
139;3559;173;1;3560
140;3565;176;1;3566
141;3494;176;3;3497
142;3543;186;2;3545
143;3583;188;2;3585
144;3523;183;3;3526
145;3510;159;3;3513
146;3577;187;7;3584
147;3633;188;3;3636
148;3624;191;3;3627
149;3672;184;4;3676
150;3655;193;3;3658
151;3500;163;3;3503
152;3573;166;2;3575
153;3526;197;4;3530
154;3555;193;3;3558
155;3657;200;3;3660
156;3549;177;6;3555
157;3557;169;3;3560
158;3622;190;2;3624
159;3523;174;4;3527
160;3568;176;2;3570
161;3585;161;2;3587
162;3573;175;2;3575
163;3472;165;1;3473
164;3544;170;5;3549
165;3657;177;5;3662
166;3606;201;4;3610
167;3578;183;3;3581
168;3602;206;2;3604
169;3612;185;2;3614
170;3752;193;1;3753
171;3608;198;4;3612
172;3590;183;0;3590
173;3471;155;2;3473
174;3633;191;2;3635
175;3517;168;2;3519
176;3506;186;0;3506
177;3525;171;3;3528
178;3536;171;6;3542
179;3540;151;3;3543
180;3559;169;4;3563
181;3512;167;2;3514
182;3491;196;2;3493
183;3551;169;4;3555
184;3523;198;2;3525
185;3642;180;4;3646
186;3712;184;0;3712
187;3479;180;4;3483
188;3548;169;7;3555
189;3641;183;1;3642
190;3676;198;3;3679
191;3546;167;1;3547
192;3498;165;2;3500
193;3601;180;0;3601
194;3553;190;3;3556
195;3561;186;6;3567
196;3582;184;5;3587
197;3513;186;8;3521
198;3581;194;11;3592
199;3493;184;3;3496
200;3590;176;1;3591
201;3492;206;1;3493
202;3581;198;0;3581
203;3616;173;1;3617
204;3560;188;2;3562
205;3496;187;4;3500
206;3469;164;0;3469
207;3670;154;1;3671
208;3578;180;2;3580
209;3556;191;4;3560
210;3658;154;4;3662
211;3579;180;2;3581
212;3577;160;1;3578
213;3586;187;6;3592
214;3504;199;3;3507
215;3600;174;1;3601
216;3520;198;4;3524
217;3513;184;4;3517
218;3480;183;3;3483
219;3529;190;5;3534
220;3573;169;4;3577
221;3650;197;1;3651
222;3560;211;3;3563
223;3480;176;2;3482
224;3541;185;8;3549
225;3582;187;3;3585
226;3587;190;4;3591
227;3593;187;4;3597
228;3522;173;3;3525
229;3609;179;3;3612
230;3548;188;5;3553
231;3561;180;3;3564
232;3508;191;6;3514
233;3567;176;1;3568
234;3445;152;5;3450
235;3650;192;3;3653
236;3546;159;1;3547
237;3535;175;4;3539
238;3636;174;4;3640
239;3651;191;3;3654
240;3554;163;2;3556
241;3590;171;2;3592
242;3654;198;1;3655
243;3499;172;3;3502
244;3584;186;1;3585
245;3621;195;2;3623
246;3568;188;2;3570
247;3665;166;3;3668
248;3491;179;3;3494
249;3603;183;2;3605
250;3526;194;3;3529
251;3597;188;3;3600
252;3600;165;0;3600
253;3541;180;4;3545
254;3614;183;4;3618
255;3472;172;3;3475
256;3719;179;3;3722
257;3613;162;1;3614
258;3554;175;6;3560
259;3522;191;1;3523
260;3457;160;5;3462
261;3537;170;2;3539
262;3571;195;3;3574
263;3497;185;8;3505
264;3569;173;2;3571
265;3591;177;5;3596
266;3517;167;3;3520
267;3606;172;4;3610
268;3574;155;2;3576
269;3640;184;5;3645
270;3551;164;2;3553
271;3662;192;3;3665
272;3543;179;4;3547
273;3631;154;1;3632
274;3435;166;0;3435
275;3518;189;3;3521
276;3546;181;3;3549
277;3586;195;3;3589
278;3499;162;3;3502
279;3565;189;2;3567
280;3626;183;2;3628
281;3542;192;3;3545
282;3616;196;2;3618
283;3571;153;4;3575
284;3562;183;5;3567
285;3587;170;1;3588
286;3555;158;0;3555
287;3529;184;5;3534
288;3586;180;5;3591
289;3566;193;2;3568
290;3575;187;2;3577
291;3540;179;3;3543
292;3604;193;5;3609
293;3610;183;3;3613
294;3549;164;2;3551
295;3638;175;3;3641
296;3612;180;0;3612
297;3534;167;3;3537
298;3586;185;1;3587
299;3583;169;2;3585
300;3561;176;4;3565
301;3501;187;5;3506
302;3608;185;2;3610
303;3528;170;1;3529
304;3677;181;3;3680
305;3606;172;3;3609
306;3686;165;3;3689
307;3676;176;3;3679
308;3568;167;5;3573
309;3563;184;5;3568
310;3648;166;2;3650
311;3574;183;2;3576
312;3575;189;3;3578
313;3604;184;2;3606
314;3772;168;1;3773
315;3585;186;2;3587
316;3578;189;5;3583
317;3538;169;3;3541
318;3590;181;3;3593
319;3543;195;3;3546
320;3588;177;4;3592
321;3527;192;3;3530
322;3520;168;2;3522
323;3529;200;5;3534
324;3466;185;6;3472
325;3485;179;7;3492
326;3566;167;1;3567
327;3552;177;1;3553
328;3623;167;2;3625
329;3544;196;5;3549
330;3488;164;1;3489
331;3483;182;4;3487
332;3590;188;4;3594
333;3572;184;3;3575
334;3629;173;1;3630
335;3587;188;7;3594
336;3586;172;4;3590
337;3588;173;0;3588
338;3568;187;3;3571
339;3505;194;3;3508
340;3529;198;6;3535
341;3582;187;3;3585
342;3632;195;4;3636
343;3592;171;3;3595
344;3580;162;3;3583
345;3521;159;4;3525
346;3601;199;3;3604
347;3530;185;2;3532
348;3517;187;4;3521
349;3474;181;4;3478
350;3576;177;4;3580
351;3592;191;5;3597
352;3632;195;6;3638
353;3471;188;1;3472
354;3545;209;2;3547
355;3492;190;0;3492
356;3485;182;3;3488
357;3540;159;1;3541
358;3467;173;3;3470
359;3606;196;2;3608
360;3659;194;4;3663
361;3555;160;1;3556
362;3573;192;2;3575
363;3458;178;4;3462
364;3573;176;1;3574
365;3541;178;4;3545
366;3589;168;1;3590
367;3530;164;6;3536
368;3619;196;0;3619
369;3651;194;1;3652
370;3530;177;4;3534
371;3568;181;4;3572
372;3609;196;7;3616
373;3599;213;4;3603
374;3583;186;4;3587
375;3621;189;5;3626
376;3545;187;1;3546
377;3613;171;2;3615
378;3555;176;3;3558
379;3495;175;3;3498
380;3568;204;0;3568
381;3611;198;2;3613
382;3517;202;8;3525
383;3491;173;4;3495
384;3527;172;5;3532
385;3519;181;3;3522
386;3518;175;1;3519
387;3517;187;5;3522
388;3539;178;1;3540
389;3422;196;9;3431
390;3631;181;2;3633
391;3557;192;3;3560
392;3466;188;3;3469
393;3525;166;4;3529
394;3701;197;8;3709
395;3520;183;1;3521
396;3534;210;5;3539
397;3524;198;4;3528
398;3506;182;3;3509
399;3589;179;3;3592
400;3667;173;2;3669
401;3613;182;4;3617
402;3533;175;3;3536
403;3564;188;5;3569
404;3505;172;1;3506
405;3600;167;1;3601
406;3606;199;7;3613
407;3540;187;5;3545
408;3628;194;1;3629
409;3594;197;3;3597
410;3456;178;3;3459
411;3461;176;1;3462
412;3616;190;4;3620
413;3529;183;6;3535
414;3584;163;4;3588
415;3659;182;4;3663
416;3594;167;2;3596
417;3592;180;7;3599
418;3560;197;3;3563
