;wykryte;nienaprawialne;niewykryte;bledy;;;;;;;;wykryte (posortowane);nienaprawialne;niewykryte;bledy
0;6393;295;3;6396;;1);;;;;;3387;145;0;3392
1;6391;329;9;6400;;;ŒREDNIA BLEDOW;;ODCH. BLEDOW;;;3399;147;0;3405
2;6488;344;6;6494;;;6411,72;;74,12;;;3411;148;0;3416
3;6348;371;5;6353;;;;;;;;3417;150;0;3419
4;6408;329;5;6413;;;ŒREDNIA WYKRYTYCH;;ODCH. WYKRYTYCH;;;3422;150;0;3425
5;6390;335;5;6395;;;6406,17;;74,06;;;3423;150;0;3430
6;6249;320;4;6253;;;;;;;;3426;151;0;3431
7;6281;324;7;6288;;;ŒREDNIA NIENAPRAWIALNYCH;;ODCH. NIENAPRAWIALNYCH;;;3427;151;0;3434
8;6383;299;6;6389;;;325,55;;17,86;;;3433;151;0;3435
9;6428;329;8;6436;;;;;;;;3435;151;0;3435
10;6493;313;1;6494;;;ŒREDNIA NIEWYKRYWALNYCH;;ODCH. NIEWYKRYTYCH;;;3437;152;0;3439
11;6410;340;6;6416;;;5,55;;2,33;;;3439;152;0;3440
12;6404;322;5;6409;;;;;;;;3439;152;0;3440
13;6392;318;3;6395;;;;;;;;3439;153;0;3443
14;6405;303;7;6412;;;;;;;;3439;153;0;3444
15;6325;311;3;6328;;;;;;;;3443;153;0;3446
16;6334;294;4;6338;;;;;;;1;3444;153;0;3447
17;6446;371;7;6453;6182;270;0;6192;min;;2;3445;153;0;3449
18;6427;339;5;6432;3527;171;2;3530;Q1;;3;3446;154;0;3450
19;6376;320;2;6378;6405;325;5;6410;mediana;;4;3448;154;0;3451
20;6312;308;6;6318;3599;190;4;3603;Q3;;5;3450;154;0;3453
21;6550;291;1;6551;6649;386;15;6656;max;;6;3452;154;0;3456
22;6367;307;5;6372;;;;;;;7;3453;154;0;3456
23;6384;343;4;6388;;;;;;;8;3455;154;0;3457
24;6388;302;3;6391;;;;;;;9;3456;154;0;3459
25;6290;334;9;6299;;;STATYSTYKA 5-punktowa;;;;10;3456;154;0;3461
26;6493;327;7;6500;;;;;;;11;3457;155;0;3461
27;6407;314;7;6414;;;BLEDY;;;;12;3458;155;0;3462
28;6385;350;7;6392;;;;;;;13;3458;156;0;3462
29;6463;317;7;6470;;;Q1;6192;;;14;3459;156;0;3462
30;6326;330;5;6331;;;Q2;3530;;;15;3460;156;0;3462
31;6446;338;4;6450;;;Q3;6410;;;16;3461;156;0;3463
32;6499;306;7;6506;;;Q4;3603;;;17;3461;156;0;3463
33;6322;336;5;6327;;;Q5;6656;;;18;3462;156;0;3463
34;6520;326;1;6521;;;;;;;19;3463;156;0;3465
35;6366;328;7;6373;;;WYKRYTE;;;;20;3463;157;0;3466
36;6466;311;5;6471;;;;;;;21;3463;157;0;3466
37;6424;320;7;6431;;;Q1;6182;;;22;3463;157;0;3467
38;6389;291;3;6392;;;Q2;3527;;;;3465;158;0;3468
39;6456;343;6;6462;;;Q3;6405;;;;3465;158;0;3469
40;6454;345;2;6456;;;Q4;3599;;;;3466;158;0;3469
41;6447;324;7;6454;;;Q5;6649;;;;3466;158;1;3470
42;6402;304;3;6405;;;;;;;;3467;158;1;3470
43;6397;346;4;6401;;;NIENAPRAWIALNE;;;;;3468;158;1;3471
44;6399;326;8;6407;;;;;;;;3469;159;1;3472
45;6434;319;4;6438;;;Q1;270;;;;3469;159;1;3472
46;6404;341;10;6414;;;Q2;171;;;;3469;159;1;3472
47;6392;305;8;6400;;;Q3;325;;;;3469;159;1;3472
48;6384;310;4;6388;;;Q4;190;;;;3469;159;1;3472
49;6413;312;3;6416;;;Q5;386;;;;3471;159;1;3472
50;6341;318;5;6346;;;;;;;;3471;159;1;3473
51;6398;321;5;6403;;;NIEWYKRYWALNE;;;;;3471;159;1;3473
52;6375;324;5;6380;;;;;;;;3472;159;1;3473
53;6375;301;6;6381;;;Q1;0;;;;3472;160;1;3475
54;6333;339;4;6337;;;Q2;2;;;;3473;160;1;3476
55;6310;294;7;6317;;;Q3;5;;;;3473;160;1;3477
56;6468;316;4;6472;;;Q4;4;;;;3473;160;1;3478
57;6371;333;5;6376;;;Q5;15;;;;3474;160;1;3478
58;6368;341;6;6374;;;;;;;;3474;160;1;3479
59;6373;346;9;6382;;;;;;;;3476;160;1;3480
60;6257;328;6;6263;;;;;;;;3476;160;1;3480
61;6292;314;8;6300;;;;;;;;3477;161;1;3480
62;6421;313;5;6426;;;;;;;;3478;161;1;3480
63;6467;310;2;6469;;;;;;;;3479;161;1;3480
64;6408;324;5;6413;;;;;;;;3479;161;1;3481
65;6245;300;2;6247;;;;;;;;3480;161;1;3481
66;6303;299;5;6308;;;;;;;;3480;161;1;3482
67;6277;330;11;6288;;;;;;;;3480;161;1;3482
68;6374;319;3;6377;;;;;;;;3480;161;1;3483
69;6396;344;4;6400;;;;;;;;3481;161;1;3483
70;6375;354;6;6381;;;;;;;;3481;162;1;3486
71;6410;325;6;6416;;;;;;;;3481;162;1;3486
72;6373;345;5;6378;;;;;;;;3483;162;1;3487
73;6453;312;2;6455;;;;;;;;3483;162;1;3487
74;6314;348;7;6321;;;;;;;;3483;162;1;3487
75;6472;375;5;6477;;;;;;;;3484;162;1;3488
76;6390;341;7;6397;;;;;;;;3484;162;1;3488
77;6276;270;4;6280;;;;;;;;3485;162;1;3488
78;6249;341;5;6254;;;;;;;;3485;162;1;3488
79;6501;350;5;6506;;;;;;;;3485;162;1;3488
80;6554;366;8;6562;;;;;;;;3485;162;1;3489
81;6321;325;5;6326;;;;;;;;3486;162;1;3489
82;6437;302;1;6438;;;;;;;;3486;162;1;3489
83;6583;332;3;6586;;;;;;;;3486;162;1;3489
84;6355;315;4;6359;;;;;;;;3487;163;1;3490
85;6342;356;7;6349;;;;;;;;3488;163;1;3491
86;6410;321;4;6414;;;;;;;;3489;163;1;3491
87;6398;348;9;6407;;;;;;;;3490;163;1;3492
88;6433;336;5;6438;;;;;;;;3490;163;1;3492
89;6292;332;2;6294;;;;;;;;3490;163;1;3492
90;6344;298;6;6350;;;;;;;;3491;163;1;3493
91;6297;362;6;6303;;;;;;;;3491;163;1;3493
92;6394;324;1;6395;;;;;;;;3491;163;1;3493
93;6239;304;6;6245;;;;;;;;3491;163;1;3494
94;6262;314;7;6269;;;;;;;;3491;163;1;3494
95;6302;307;1;6303;;;;;;;;3491;163;1;3494
96;6597;339;4;6601;;;;;;;;3492;163;1;3495
97;6421;311;3;6424;;;;;;;;3492;163;1;3495
98;6334;320;5;6339;;;;;;;;3492;163;1;3496
99;6380;311;7;6387;;;;;;;;3492;164;1;3496
100;6369;336;7;6376;;;;;;;;3493;164;1;3496
101;6484;326;2;6486;;;;;;;;3493;164;1;3496
102;6444;311;6;6450;;;;;;;;3493;164;1;3496
103;6432;317;4;6436;;;;;;;;3494;164;1;3497
104;6417;329;3;6420;;;;;;;;3494;164;1;3497
105;6576;338;4;6580;;;;;;;;3494;164;1;3497
106;6416;326;7;6423;;;;;;;;3494;164;1;3497
107;6441;358;5;6446;;;;;;;;3494;164;1;3497
108;6268;364;4;6272;;;;;;;;3495;164;1;3498
109;6486;293;4;6490;;;;;;;;3495;164;1;3498
110;6495;331;4;6499;;;;;;;;3496;165;1;3498
111;6379;285;5;6384;;;;;;;;3496;165;1;3498
112;6391;319;5;6396;;;;;;;;3496;165;1;3498
113;6298;330;4;6302;;;;;;;;3496;165;1;3498
114;6411;340;6;6417;;;;;;;;3496;165;1;3499
115;6433;311;5;6438;;;;;;;;3496;165;1;3499
116;6365;333;4;6369;;;;;;;;3496;165;1;3500
117;6360;327;7;6367;;;;;;;;3497;165;1;3500
118;6406;288;8;6414;;;;;;;;3497;165;1;3500
119;6327;334;11;6338;;;;;;;;3497;165;1;3500
120;6478;316;5;6483;;;;;;;;3497;165;1;3500
121;6393;327;3;6396;;;;;;;;3497;165;1;3500
122;6416;324;5;6421;;;;;;;;3497;165;1;3501
123;6412;337;6;6418;;;;;;;;3498;165;1;3501
124;6596;320;6;6602;;;;;;;;3498;166;1;3502
125;6353;314;5;6358;;;;;;;;3498;166;1;3502
126;6326;321;10;6336;;;;;;;;3498;166;1;3502
127;6468;348;7;6475;;;;;;;;3498;166;1;3502
128;6295;297;2;6297;;;;;;;;3499;166;1;3502
129;6375;293;7;6382;;;;;;;;3499;166;1;3502
130;6393;326;8;6401;;;;;;;;3499;166;1;3502
131;6314;306;7;6321;;;;;;;;3499;166;1;3503
132;6415;325;8;6423;;;;;;;;3500;166;1;3503
133;6466;305;2;6468;;;;;;;;3500;166;1;3503
134;6468;340;4;6472;;;;;;;;3500;166;1;3503
135;6370;312;6;6376;;;;;;;;3501;166;1;3504
136;6365;337;11;6376;;;;;;;;3501;166;1;3504
137;6363;330;6;6369;;;;;;;;3501;166;1;3505
138;6381;333;3;6384;;;;;;;;3501;166;1;3505
139;6400;361;5;6405;;;;;;;;3501;166;1;3505
140;6437;305;4;6441;;;;;;;;3502;166;1;3506
141;6417;333;6;6423;;;;;;;;3502;166;1;3506
142;6430;347;3;6433;;;;;;;;3503;166;1;3506
143;6385;315;9;6394;;;;;;;;3503;166;1;3506
144;6323;291;6;6329;;;;;;;;3504;166;1;3506
145;6416;299;3;6419;;;;;;;;3504;167;1;3507
146;6388;341;8;6396;;;;;;;;3505;167;1;3507
147;6473;337;7;6480;;;;;;;;3505;167;1;3507
148;6535;331;6;6541;;;;;;;;3505;167;1;3507
149;6292;310;4;6296;;;;;;;;3505;167;1;3507
150;6369;313;5;6374;;;;;;;;3505;167;1;3508
151;6421;300;3;6424;;;;;;;;3506;167;1;3509
152;6269;330;7;6276;;;;;;;;3506;167;1;3509
153;6431;314;3;6434;;;;;;;;3507;167;1;3509
154;6495;341;7;6502;;;;;;;;3507;167;1;3510
155;6373;335;7;6380;;;;;;;;3507;167;1;3510
156;6357;336;9;6366;;;;;;;;3508;167;1;3510
157;6262;309;7;6269;;;;;;;;3508;167;1;3512
158;6364;338;3;6367;;;;;;;;3509;167;1;3512
159;6336;283;7;6343;;;;;;;;3509;167;1;3512
160;6307;317;6;6313;;;;;;;;3509;167;1;3513
