;wykryte;nienaprawialne;niewykryte;bledy;;;;;;;;wykryte;nienaprawialne;niewykryte;bledy
0;749;11;0;749;;1);;;;;;668;0;0;668
1;777;10;0;777;;;ŒREDNIA BLEDOW;;ODCH. BLEDOW;;;670;1;0;670
2;772;4;0;772;;;742,47;;26,91;;;674;1;0;674
3;751;5;0;751;;;;;;;;674;1;0;674
4;792;5;0;792;;;ŒREDNIA WYKRYTYCH;;ODCH. WYKRYTYCH;;;674;2;0;674
5;798;11;0;798;;;742,44;;26,91;;;681;2;0;681
6;723;9;0;723;;;;;;;;681;2;0;681
7;687;11;0;687;;;ŒREDNIA NIENAPRAWIALNYCH;;ODCH. NIENAPRAWIALNYCH;;;680;2;1;681
8;746;10;0;746;;;7,47;;2,71;;;682;2;0;682
9;789;3;0;789;;;;;;;;687;2;0;687
10;732;4;0;732;;;ŒREDNIA NIEWYKRYWALNYCH;;ODCH. NIEWYKRYTYCH;;;687;2;0;687
11;726;3;0;726;;;0,02;;0,15;;;686;2;1;687
12;756;5;0;756;;;;;;;;688;2;0;688
13;748;12;0;748;;;;;;;;688;2;0;688
14;750;6;1;751;;;;;;;;688;2;0;688
15;730;3;0;730;;;;;;;;689;2;0;689
16;715;7;0;715;;;;;;;1;689;2;0;689
17;744;8;0;744;668;0;0;668;min;;2;689;2;0;689
18;744;6;0;744;723;5;0;723;Q1;;3;689;2;0;689
19;733;8;0;733;742;7;0;742;mediana;;4;689;3;0;689
20;713;4;0;713;761;9;0;761;Q3;;5;691;3;0;691
21;714;7;0;714;833;21;1;833;max;;6;691;3;0;691
22;771;8;0;771;;;;;;;7;691;3;0;691
23;737;4;0;737;;;;;;;8;692;3;0;692
24;728;5;0;728;;;;;;;9;693;3;0;693
25;715;6;0;715;;;STATYSTYKA 5-punktowa;;;;10;693;3;0;693
26;757;10;0;757;;;;;;;11;693;3;0;693
27;722;6;0;722;;;BLEDY;;;;12;693;3;0;693
28;707;9;0;707;;;;;;;13;694;3;0;694
