;wykryte;nienaprawialne;niewykryte;bledy
0;6237;577;22;6259
1;6210;549;21;6231
2;6181;601;20;6201
3;6093;539;12;6105
4;6224;613;24;6248
5;6118;542;10;6128
6;6203;528;21;6224
7;6034;587;16;6050
8;6264;590;19;6283
9;6065;557;24;6089
10;6197;593;17;6214
11;6183;569;19;6202
12;6087;555;10;6097
13;6092;593;24;6116
14;6174;545;18;6192
15;6263;576;17;6280
16;5990;520;18;6008
17;6081;577;15;6096
18;6244;581;25;6269
19;6067;554;15;6082
20;6163;562;27;6190
21;6192;566;12;6204
22;6278;587;18;6296
23;6100;553;15;6115
24;6157;541;14;6171
25;6248;565;14;6262
26;6165;621;21;6186
27;6120;578;15;6135
28;6153;565;19;6172
29;6097;580;18;6115
30;6190;571;20;6210
31;6166;580;17;6183
32;6185;568;22;6207
33;6236;578;20;6256
34;6047;571;20;6067
35;6196;603;22;6218
36;6084;587;14;6098
37;6102;562;11;6113
38;6170;586;16;6186
39;6086;586;21;6107
40;6197;588;18;6215
41;6084;540;18;6102
42;6154;553;17;6171
43;6119;551;11;6130
44;6126;560;22;6148
45;6086;553;13;6099
46;6162;537;18;6180
47;6210;586;20;6230
48;6159;553;12;6171
49;6197;521;20;6217
50;6164;582;21;6185
51;6138;519;25;6163
52;6255;554;18;6273
53;6203;579;22;6225
54;6120;575;23;6143
55;6118;537;23;6141
56;6128;576;25;6153
57;6220;595;13;6233
58;6155;549;16;6171
59;6026;597;18;6044
60;6174;583;16;6190
61;6178;615;14;6192
62;6201;607;18;6219
63;6110;572;18;6128
64;6188;561;19;6207
65;6134;578;11;6145
66;6177;566;14;6191
67;6160;558;24;6184
68;6240;574;18;6258
69;6029;548;18;6047
70;6150;559;19;6169
71;6158;561;17;6175
72;6122;572;20;6142
73;6184;536;14;6198
74;6124;607;24;6148
75;6163;583;13;6176
76;6028;551;16;6044
77;6132;565;15;6147
78;6196;578;25;6221
79;6157;579;19;6176
80;6122;615;22;6144
81;6072;604;19;6091
82;6003;572;19;6022
83;6175;570;17;6192
84;6185;547;14;6199
85;6203;575;13;6216
86;6162;597;13;6175
87;6145;585;21;6166
88;6110;543;18;6128
89;6122;561;20;6142
90;6126;564;18;6144
91;6216;615;21;6237
92;6040;531;20;6060
93;6069;599;20;6089
94;6109;574;17;6126
95;6114;563;24;6138
96;6151;541;25;6176
97;6117;602;24;6141
98;6076;567;14;6090
99;6127;599;21;6148
100;6210;557;15;6225
101;6238;587;16;6254
102;6176;560;17;6193
103;6075;551;9;6084
104;6155;572;12;6167
105;6173;586;26;6199
106;6148;545;15;6163
107;6153;600;15;6168
108;6210;592;16;6226
109;6105;629;18;6123
110;6113;542;14;6127
111;6132;569;26;6158
112;6117;551;10;6127
113;5946;551;14;5960
114;6170;579;17;6187
115;6174;571;24;6198
116;6272;601;26;6298
117;6071;546;24;6095
118;6028;556;18;6046
119;6237;559;17;6254
120;6129;562;20;6149
121;6250;550;15;6265
122;6014;537;19;6033
123;6003;527;14;6017
124;6089;531;11;6100
125;6180;552;11;6191
126;6066;510;13;6079
127;6010;587;22;6032
128;6165;560;15;6180
129;6187;618;21;6208
130;6202;609;18;6220
131;6220;577;15;6235
132;6162;556;19;6181
133;6224;548;18;6242
134;6252;576;19;6271
