wykryte;nienaprawialne;niewykryte;bledy
3473;182;4;3477
3537;170;2;3539
3602;169;3;3605
3538;180;1;3539
3643;169;3;3646
3676;190;2;3678
3586;160;1;3587
3439;196;1;3440
3565;173;4;3569
3521;169;3;3524
3552;170;2;3554
3501;179;2;3503
3584;178;2;3586
3562;189;2;3564
3523;178;2;3525
3437;173;2;3439
3578;181;5;3583
3580;188;4;3584
3571;168;2;3573
3611;184;4;3615
3570;186;7;3577
3560;188;0;3560
3532;156;2;3534
3619;178;7;3626
3538;182;6;3544
3556;196;7;3563
3609;177;6;3615
3572;195;2;3574
3542;174;0;3542
3538;182;0;3538
3583;184;4;3587
3530;167;4;3534
3589;167;2;3591
3469;171;3;3472
3558;166;1;3559
3564;180;5;3569
3809;232;5;3814
3508;161;4;3512
3439;152;5;3444
3528;182;3;3531
3455;200;2;3457
3546;173;4;3550
3590;174;3;3593
3599;185;2;3601
3581;186;6;3587
3550;178;0;3550
3597;181;2;3599
3511;175;2;3513
3517;189;2;3519
3476;197;4;3480
3555;162;2;3557
3582;181;2;3584
3523;189;6;3529
3629;204;6;3635
3637;181;2;3639
3512;172;7;3519
3597;189;2;3599
3665;202;3;3668
3494;179;3;3497
3521;179;2;3523
3631;209;2;3633
3496;193;4;3500
3593;188;2;3595
3624;193;4;3628
3603;180;4;3607
3514;158;2;3516
3588;189;1;3589
3567;165;5;3572
3651;208;5;3656
3558;185;3;3561
3519;165;3;3522
3493;174;3;3496
3575;187;3;3578
3579;196;5;3584
3660;186;1;3661
3633;193;6;3639
3471;165;1;3472
3609;183;2;3611
3599;171;5;3604
3671;183;5;3676
3578;176;4;3582
3565;181;1;3566
3546;183;6;3552
3629;211;4;3633
3589;187;5;3594
3599;208;3;3602
3510;184;6;3516
3630;205;7;3637
3498;192;4;3502
3529;193;2;3531
3639;174;2;3641
3483;180;5;3488
3574;164;3;3577
3645;180;5;3650
3571;161;2;3573
3505;172;2;3507
3590;171;1;3591
3523;201;5;3528
3569;164;1;3570
3567;183;3;3570
3519;177;6;3525
3590;182;6;3596
3573;180;3;3576
3559;204;4;3563
3573;168;1;3574
3657;200;5;3662
3587;161;2;3589
3523;165;2;3525
3516;171;3;3519
3597;196;1;3598
3543;189;4;3547
3486;180;2;3488
3544;153;1;3545
3509;193;1;3510
3502;190;2;3504
3664;172;3;3667
3612;181;3;3615
3586;168;4;3590
3561;191;6;3567
3500;175;2;3502
3576;186;1;3577
3578;180;3;3581
3577;174;5;3582
3530;173;5;3535
3605;170;1;3606
3612;177;5;3617
3387;159;5;3392
3556;178;3;3559
3498;172;2;3500
3661;195;4;3665
3551;172;3;3554
3494;187;1;3495
3538;186;1;3539
3666;169;2;3668
3563;164;1;3564
3629;172;1;3630
3582;172;2;3584
3602;189;1;3603
3516;168;6;3522
3559;173;1;3560
3565;176;1;3566
3494;176;3;3497
3543;186;2;3545
3583;188;2;3585
3523;183;3;3526
3510;159;3;3513
3577;187;7;3584
3633;188;3;3636
3624;191;3;3627
3672;184;4;3676
3655;193;3;3658
3500;163;3;3503
3573;166;2;3575
3526;197;4;3530
3555;193;3;3558
3657;200;3;3660
3549;177;6;3555
3557;169;3;3560
3622;190;2;3624
3523;174;4;3527
3568;176;2;3570
3585;161;2;3587
3573;175;2;3575
3472;165;1;3473
3544;170;5;3549
3657;177;5;3662
3606;201;4;3610
3578;183;3;3581
3602;206;2;3604
3612;185;2;3614
3752;193;1;3753
3608;198;4;3612
3590;183;0;3590
3471;155;2;3473
3633;191;2;3635
3517;168;2;3519
3506;186;0;3506
3525;171;3;3528
3536;171;6;3542
3540;151;3;3543
3559;169;4;3563
3512;167;2;3514
3491;196;2;3493
3551;169;4;3555
3523;198;2;3525
3642;180;4;3646
3712;184;0;3712
3479;180;4;3483
3548;169;7;3555
3641;183;1;3642
3676;198;3;3679
3546;167;1;3547
3498;165;2;3500
3601;180;0;3601
3553;190;3;3556
3561;186;6;3567
3582;184;5;3587
3513;186;8;3521
3581;194;11;3592
3493;184;3;3496
3590;176;1;3591
3492;206;1;3493
3581;198;0;3581
3616;173;1;3617
3560;188;2;3562
3496;187;4;3500
3469;164;0;3469
3670;154;1;3671
3578;180;2;3580
3556;191;4;3560
3658;154;4;3662
3579;180;2;3581
3577;160;1;3578
3586;187;6;3592
3504;199;3;3507
3600;174;1;3601
3520;198;4;3524
3513;184;4;3517
3480;183;3;3483
3529;190;5;3534
3573;169;4;3577
3650;197;1;3651
3560;211;3;3563
3480;176;2;3482
3541;185;8;3549
3582;187;3;3585
3587;190;4;3591
3593;187;4;3597
3522;173;3;3525
3609;179;3;3612
3548;188;5;3553
3561;180;3;3564
3508;191;6;3514
3567;176;1;3568
3445;152;5;3450
3650;192;3;3653
3546;159;1;3547
3535;175;4;3539
3636;174;4;3640
3651;191;3;3654
3554;163;2;3556
3590;171;2;3592
3654;198;1;3655
3499;172;3;3502
3584;186;1;3585
3621;195;2;3623
3568;188;2;3570
3665;166;3;3668
3491;179;3;3494
3603;183;2;3605
3526;194;3;3529
3597;188;3;3600
3600;165;0;3600
3541;180;4;3545
3614;183;4;3618
3472;172;3;3475
3719;179;3;3722
3613;162;1;3614
3554;175;6;3560
3522;191;1;3523
3457;160;5;3462
3537;170;2;3539
3571;195;3;3574
3497;185;8;3505
3569;173;2;3571
3591;177;5;3596
3517;167;3;3520
3606;172;4;3610
3574;155;2;3576
3640;184;5;3645
3551;164;2;3553
3662;192;3;3665
3543;179;4;3547
3631;154;1;3632
3435;166;0;3435
3518;189;3;3521
3546;181;3;3549
3586;195;3;3589
3499;162;3;3502
3565;189;2;3567
3626;183;2;3628
3542;192;3;3545
3616;196;2;3618
3571;153;4;3575
3562;183;5;3567
3587;170;1;3588
3555;158;0;3555
3529;184;5;3534
3586;180;5;3591
3566;193;2;3568
3575;187;2;3577
3540;179;3;3543
3604;193;5;3609
3610;183;3;3613
3549;164;2;3551
3638;175;3;3641
3612;180;0;3612
3534;167;3;3537
3586;185;1;3587
3583;169;2;3585
3561;176;4;3565
3501;187;5;3506
3608;185;2;3610
3528;170;1;3529
3677;181;3;3680
3606;172;3;3609
3686;165;3;3689
3676;176;3;3679
3568;167;5;3573
3563;184;5;3568
3648;166;2;3650
3574;183;2;3576
3575;189;3;3578
3604;184;2;3606
3772;168;1;3773
3585;186;2;3587
3578;189;5;3583
3538;169;3;3541
3590;181;3;3593
3543;195;3;3546
3588;177;4;3592
3527;192;3;3530
3520;168;2;3522
3529;200;5;3534
3466;185;6;3472
3485;179;7;3492
3566;167;1;3567
3552;177;1;3553
3623;167;2;3625
3544;196;5;3549
3488;164;1;3489
3483;182;4;3487
3590;188;4;3594
