wykryte;nienaprawialne;niewykryte;bledy
6393;295;3;6396
6391;329;9;6400
6488;344;6;6494
6348;371;5;6353
6408;329;5;6413
6390;335;5;6395
6249;320;4;6253
6281;324;7;6288
6383;299;6;6389
6428;329;8;6436
6493;313;1;6494
6410;340;6;6416
6404;322;5;6409
6392;318;3;6395
6405;303;7;6412
6325;311;3;6328
6334;294;4;6338
6446;371;7;6453
6427;339;5;6432
6376;320;2;6378
6312;308;6;6318
6550;291;1;6551
6367;307;5;6372
6384;343;4;6388
6388;302;3;6391
6290;334;9;6299
6493;327;7;6500
6407;314;7;6414
6385;350;7;6392
6463;317;7;6470
6326;330;5;6331
6446;338;4;6450
6499;306;7;6506
6322;336;5;6327
6520;326;1;6521
6366;328;7;6373
6466;311;5;6471
6424;320;7;6431
6389;291;3;6392
6456;343;6;6462
6454;345;2;6456
6447;324;7;6454
6402;304;3;6405
6397;346;4;6401
6399;326;8;6407
6434;319;4;6438
6404;341;10;6414
6392;305;8;6400
6384;310;4;6388
6413;312;3;6416
6341;318;5;6346
6398;321;5;6403
6375;324;5;6380
6375;301;6;6381
6333;339;4;6337
6310;294;7;6317
6468;316;4;6472
6371;333;5;6376
6368;341;6;6374
6373;346;9;6382
6257;328;6;6263
6292;314;8;6300
6421;313;5;6426
6467;310;2;6469
6408;324;5;6413
6245;300;2;6247
6303;299;5;6308
6277;330;11;6288
6374;319;3;6377
6396;344;4;6400
6375;354;6;6381
6410;325;6;6416
6373;345;5;6378
6453;312;2;6455
6314;348;7;6321
6472;375;5;6477
6390;341;7;6397
6276;270;4;6280
6249;341;5;6254
6501;350;5;6506
6554;366;8;6562
6321;325;5;6326
6437;302;1;6438
6583;332;3;6586
6355;315;4;6359
6342;356;7;6349
6410;321;4;6414
6398;348;9;6407
6433;336;5;6438
6292;332;2;6294
6344;298;6;6350
6297;362;6;6303
6394;324;1;6395
6239;304;6;6245
6262;314;7;6269
6302;307;1;6303
6597;339;4;6601
6421;311;3;6424
6334;320;5;6339
6380;311;7;6387
6369;336;7;6376
6484;326;2;6486
6444;311;6;6450
6432;317;4;6436
6417;329;3;6420
6576;338;4;6580
6416;326;7;6423
6441;358;5;6446
6268;364;4;6272
6486;293;4;6490
6495;331;4;6499
6379;285;5;6384
6391;319;5;6396
6298;330;4;6302
6411;340;6;6417
6433;311;5;6438
6365;333;4;6369
6360;327;7;6367
6406;288;8;6414
6327;334;11;6338
6478;316;5;6483
6393;327;3;6396
6416;324;5;6421
6412;337;6;6418
6596;320;6;6602
6353;314;5;6358
6326;321;10;6336
6468;348;7;6475
6295;297;2;6297
6375;293;7;6382
6393;326;8;6401
6314;306;7;6321
6415;325;8;6423
6466;305;2;6468
6468;340;4;6472
6370;312;6;6376
6365;337;11;6376
6363;330;6;6369
6381;333;3;6384
6400;361;5;6405
6437;305;4;6441
6417;333;6;6423
6430;347;3;6433
6385;315;9;6394
6323;291;6;6329
6416;299;3;6419
6388;341;8;6396
6473;337;7;6480
6535;331;6;6541
6292;310;4;6296
6369;313;5;6374
6421;300;3;6424
6269;330;7;6276
6431;314;3;6434
6495;341;7;6502
6373;335;7;6380
6357;336;9;6366
6262;309;7;6269
6364;338;3;6367
6336;283;7;6343
6307;317;6;6313
6310;294;5;6315
6395;376;3;6398
6420;334;3;6423
6403;336;12;6415
6472;334;1;6473
6458;346;9;6467
6372;329;4;6376
6387;308;5;6392
6460;296;6;6466
6360;327;7;6367
6473;331;4;6477
6198;311;6;6204
6433;330;2;6435
6573;320;5;6578
6442;324;5;6447
6334;337;8;6342
6358;305;7;6365
6485;320;6;6491
6360;338;7;6367
6532;352;4;6536
6394;319;8;6402
6384;315;4;6388
6478;330;9;6487
6590;330;7;6597
6364;338;3;6367
6365;299;0;6365
6459;320;7;6466
6572;331;6;6578
6427;327;5;6432
6434;333;6;6440
6519;320;7;6526
6479;304;4;6483
6295;318;3;6298
6188;319;8;6196
6332;309;1;6333
6382;322;2;6384
6447;331;8;6455
6396;352;6;6402
6416;350;12;6428
6386;317;6;6392
6458;346;8;6466
6405;325;5;6410
6444;331;6;6450
6456;331;6;6462
6409;312;4;6413
6372;312;6;6378
6369;364;5;6374
6321;338;4;6325
6483;308;5;6488
6436;299;10;6446
6333;304;3;6336
6490;328;4;6494
6462;321;2;6464
6379;331;4;6383
6399;309;4;6403
6473;339;4;6477
6270;331;4;6274
6390;323;5;6395
6390;315;6;6396
6425;332;7;6432
6546;325;5;6551
6382;298;5;6387
6392;331;5;6397
6376;333;5;6381
6260;334;6;6266
6424;327;9;6433
6403;326;5;6408
6420;330;3;6423
6409;318;2;6411
6435;325;4;6439
6419;311;3;6422
6341;311;5;6346
6320;339;2;6322
6433;333;8;6441
6399;311;3;6402
6342;333;9;6351
6431;296;6;6437
6494;312;5;6499
6302;327;6;6308
6420;324;5;6425
6295;318;7;6302
6480;322;3;6483
6607;326;8;6615
6337;297;8;6345
6504;325;7;6511
6404;363;6;6410
6343;318;7;6350
6461;304;7;6468
