wykryte;nienaprawione;niewykryte;bledy
712;30;0;712
713;38;0;713
739;36;2;741
704;37;0;704
700;41;0;700
684;39;0;684
718;30;2;720
726;35;1;727
697;30;1;698
725;26;0;725
710;33;0;710
678;38;0;678
677;37;1;678
711;44;0;711
713;42;1;714
708;33;1;709
718;30;1;719
690;35;1;691
728;39;1;729
685;31;2;687
707;39;0;707
742;35;0;742
694;33;0;694
672;34;2;674
716;25;0;716
714;42;0;714
691;23;1;692
712;41;0;712
749;40;0;749
697;30;0;697
677;28;0;677
701;37;0;701
724;47;0;724
727;38;0;727
746;33;1;747
733;33;0;733
726;28;1;727
743;42;0;743
728;30;0;728
717;44;1;718
720;56;3;723
708;23;1;709
785;40;1;786
726;37;0;726
688;38;0;688
671;30;0;671
709;30;0;709
693;34;0;693
724;25;2;726
699;31;2;701
714;45;1;715
694;29;1;695
730;37;0;730
747;41;1;748
720;44;0;720
722;39;0;722
688;37;0;688
687;34;0;687
740;35;1;741
662;31;1;663
704;36;0;704
679;38;2;681
708;27;0;708
697;31;1;698
681;33;0;681
691;34;0;691
692;35;0;692
730;39;1;731
780;39;0;780
742;40;0;742
712;31;0;712
747;38;1;748
705;29;0;705
739;42;1;740
734;45;0;734
720;40;0;720
708;28;1;709
707;33;2;709
710;43;0;710
715;30;0;715
688;29;1;689
777;49;0;777
716;47;0;716
699;32;2;701
702;33;1;703
728;29;0;728
712;35;3;715
682;31;2;684
748;33;0;748
732;48;0;732
737;48;1;738
736;25;0;736
776;37;1;777
686;32;2;688
693;41;0;693
749;43;0;749
730;36;0;730
674;28;1;675
748;38;0;748
723;41;1;724
723;37;1;724
710;34;2;712
740;42;3;743
684;37;1;685
695;38;1;696
729;35;0;729
669;37;0;669
743;32;1;744
654;35;0;654
717;41;2;719
700;39;0;700
722;30;0;722
718;34;0;718
693;30;1;694
739;41;1;740
735;31;0;735
759;33;3;762
698;30;2;700
645;33;2;647
699;40;0;699
741;47;2;743
688;27;0;688
698;23;2;700
684;28;0;684
687;38;1;688
701;37;0;701
681;30;1;682
756;31;1;757
676;26;0;676
752;43;1;753
706;24;0;706
692;30;1;693
699;40;0;699
713;50;2;715
698;27;1;699
707;49;1;708
706;29;0;706
681;30;0;681
680;36;0;680
701;29;0;701
689;36;0;689
723;32;0;723
690;34;2;692
705;28;0;705
665;28;1;666
701;40;1;702
659;34;2;661
720;30;0;720
726;40;0;726
700;32;1;701
718;36;0;718
687;24;0;687
685;36;0;685
670;21;0;670
696;40;1;697
716;27;0;716
750;39;1;751
704;46;1;705
761;32;0;761
696;31;0;696
722;35;0;722
728;40;0;728
742;25;0;742
724;33;0;724
687;37;1;688
725;35;1;726
695;33;1;696
709;39;2;711
670;43;0;670
718;35;0;718
738;46;2;740
709;39;0;709
751;27;1;752
713;48;0;713
718;43;2;720
735;41;2;737
671;36;2;673
728;34;0;728
682;48;0;682
786;32;2;788
697;37;0;697
708;35;0;708
716;40;2;718
667;36;0;667
776;36;1;777
706;31;2;708
701;41;2;703
691;34;1;692
709;34;2;711
712;36;2;714
722;28;0;722
686;32;0;686
743;30;0;743
702;33;0;702
731;32;1;732
739;30;1;740
709;40;1;710
716;41;0;716
723;37;1;724
700;39;0;700
708;33;0;708
756;43;2;758
714;48;1;715
673;28;0;673
710;25;0;710
723;34;0;723
735;37;1;736
726;35;0;726
706;37;0;706
662;36;0;662
691;35;1;692
734;30;0;734
706;41;1;707
728;37;0;728
697;39;1;698
717;33;0;717
727;34;1;728
716;24;0;716
673;29;1;674
696;33;0;696
681;35;0;681
708;27;0;708
715;27;1;716
735;44;2;737
748;41;0;748
699;31;2;701
674;32;1;675
703;40;2;705
728;43;1;729
744;30;0;744
