wykryte;nienaprawialne;niewykryte;bledy
6237;577;22;6259
6210;549;21;6231
6181;601;20;6201
6093;539;12;6105
6224;613;24;6248
6118;542;10;6128
6203;528;21;6224
6034;587;16;6050
6264;590;19;6283
6065;557;24;6089
6197;593;17;6214
6183;569;19;6202
6087;555;10;6097
6092;593;24;6116
6174;545;18;6192
6263;576;17;6280
5990;520;18;6008
6081;577;15;6096
6244;581;25;6269
6067;554;15;6082
6163;562;27;6190
6192;566;12;6204
6278;587;18;6296
6100;553;15;6115
6157;541;14;6171
6248;565;14;6262
6165;621;21;6186
6120;578;15;6135
6153;565;19;6172
6097;580;18;6115
6190;571;20;6210
6166;580;17;6183
6185;568;22;6207
6236;578;20;6256
6047;571;20;6067
6196;603;22;6218
6084;587;14;6098
6102;562;11;6113
6170;586;16;6186
6086;586;21;6107
6197;588;18;6215
6084;540;18;6102
6154;553;17;6171
6119;551;11;6130
6126;560;22;6148
6086;553;13;6099
6162;537;18;6180
6210;586;20;6230
6159;553;12;6171
6197;521;20;6217
6164;582;21;6185
6138;519;25;6163
6255;554;18;6273
6203;579;22;6225
6120;575;23;6143
6118;537;23;6141
6128;576;25;6153
6220;595;13;6233
6155;549;16;6171
6026;597;18;6044
6174;583;16;6190
6178;615;14;6192
6201;607;18;6219
6110;572;18;6128
6188;561;19;6207
6134;578;11;6145
6177;566;14;6191
6160;558;24;6184
6240;574;18;6258
6029;548;18;6047
6150;559;19;6169
6158;561;17;6175
6122;572;20;6142
6184;536;14;6198
6124;607;24;6148
6163;583;13;6176
6028;551;16;6044
6132;565;15;6147
6196;578;25;6221
6157;579;19;6176
6122;615;22;6144
6072;604;19;6091
6003;572;19;6022
6175;570;17;6192
6185;547;14;6199
6203;575;13;6216
6162;597;13;6175
6145;585;21;6166
6110;543;18;6128
6122;561;20;6142
6126;564;18;6144
6216;615;21;6237
6040;531;20;6060
6069;599;20;6089
6109;574;17;6126
6114;563;24;6138
6151;541;25;6176
6117;602;24;6141
6076;567;14;6090
6127;599;21;6148
6210;557;15;6225
6238;587;16;6254
6176;560;17;6193
6075;551;9;6084
6155;572;12;6167
6173;586;26;6199
6148;545;15;6163
6153;600;15;6168
6210;592;16;6226
6105;629;18;6123
6113;542;14;6127
6132;569;26;6158
6117;551;10;6127
5946;551;14;5960
6170;579;17;6187
6174;571;24;6198
6272;601;26;6298
6071;546;24;6095
6028;556;18;6046
6237;559;17;6254
6129;562;20;6149
6250;550;15;6265
6014;537;19;6033
6003;527;14;6017
6089;531;11;6100
6180;552;11;6191
6066;510;13;6079
6010;587;22;6032
6165;560;15;6180
6187;618;21;6208
6202;609;18;6220
6220;577;15;6235
6162;556;19;6181
6224;548;18;6242
6252;576;19;6271
6094;538;23;6117
6109;553;20;6129
6148;605;21;6169
6169;541;28;6197
6132;574;13;6145
6007;565;17;6024
6180;568;11;6191
6173;579;19;6192
6186;556;13;6199
6180;584;15;6195
6127;629;22;6149
6208;558;21;6229
6204;544;7;6211
6115;532;21;6136
6113;574;15;6128
6314;577;20;6334
6160;574;11;6171
6131;615;13;6144
